taxon_name,mean_fires,num_unburnt_pixels,num_pixels
Acacia constablei,0.8823529411764706,2,17
Acacia continua,0.15512048192771088,565,664
Acacia convallium,4.183333333333334,9,60
Acacia coriacea,1.0465116279069768,28,43
Acacia costiniana,0.5609756097560976,18,41
Acacia courtii,0.10810810810810811,33,37
Acacia cowleana,1.6524216524216528,113,351
Acacia crassa,0.3571428571428572,43,56
Acacia crassicarpa,1.2686567164179106,166,268
Acacia crassistipula,0.5185185185185185,20,27
Acacia cremiflora,0.09876543209876543,74,81
Acacia cultriformis,0.19098143236074272,319,377
Acacia cupularis,0.13451327433628316,492,565
Acacia curranii,0.25,60,76
Acacia cuthbertsonii subsp. cuthbertsonii,0.8067632850241547,111,207
Acacia cyclops,0.1376021798365123,646,734
Acacia cyperophylla,0.33333333333333337,21,27
Acacia cyperophylla var. cyperophylla,0.09803921568627447,139,153
Acacia dallachiana,1.0725806451612905,25,124
Acacia daviesii,0.33333333333333337,6,9
Acacia daviesioides,0.44776119402985076,48,67
Acacia dawsonii,0.15806451612903225,263,310
Acacia dealbata,0.3769111455794337,9388,13539
Acacia dealbata subsp. dealbata,0.24140821458507974,938,1193
Acacia dealbata subsp. subalpina,0.75,105,268
Acacia deanei,0.14942528735632174,1228,1392
Acacia deanei subsp. deanei,0.13692946058091282,1064,1205
Acacia deanei subsp. paucijuga,0.21574344023323608,563,686
Acacia debilis,0.5405405405405407,46,74
Acacia decora,0.19489392304926265,2409,2781
Acacia decurrens,0.14987450699175306,2439,2789
Acacia dentifera,0.16923076923076918,55,65
Acacia desmondii,0.33333333333333337,15,21
Acacia dictyophleba,0.9054621848739494,227,476
Acacia difficilis,5.646694214876032,174,1452
Acacia difformis,0.17094017094017086,210,234
Acacia dilatata,0.33333333333333337,27,36
Acacia dimidiata,6.355291576673866,80,926
Acacia disparrima subsp. disparrima,0.4182194616977223,354,483
Acacia divergens,0.3935483870967742,110,155
Acacia dolichophylla,1.7142857142857142,2,14
Acacia doratoxylon,0.19087136929460605,1427,1687
Acacia drepanocarpa,4.355555555555556,3,45
Acacia drepanocarpa subsp. drepanocarpa,3.1142857142857143,10,70
Acacia drepanocarpa subsp. latifolia,3.6736842105263157,6,95
Acacia drummondii,0.3928571428571429,37,56
Acacia drummondii subsp. candolleana,0.4523809523809524,27,42
Acacia drummondii subsp. drummondii,0.3333333333333333,60,75
Acacia drummondii subsp. elegans,0.34862385321100914,74,109
Acacia dunnii,4.940298507462687,14,134
Acacia echinula,0.8261802575107297,211,466
Acacia echinuliflora,4.833333333333334,3,24
Acacia elachantha,1.5262054507337526,150,477
Acacia elata,0.3963878326996196,772,1052
Acacia elongata,0.5677830940988838,765,1254
Acacia enterocarpa,0.09090909090909094,122,132
Acacia ericifolia,0.6338028169014085,55,71
Acacia erinacea,0.15023474178403737,562,639
Acacia estrophiolata,0.5495145631067956,326,515
Acacia euthycarpa,0.12233285917496449,620,703
Acacia euthycarpa subsp. euthycarpa,0.13983050847457626,206,236
Acacia euthycarpa subsp. oblanceolata,0,20,20
Acacia excelsa,0.078125,303,320
Acacia excelsa subsp. angusta,0.029850746268656726,65,67
Acacia excelsa subsp. excelsa,0.20858895705521488,141,163
Acacia extensa,0.33980582524271835,228,309
Acacia exudans,0.012499999999999999,79,80
Acacia fagonioides,0.22222222222222224,14,18
Acacia falcata,0.2571704801804707,2507,3103
Acacia falciformis,0.6551155115511542,1994,4242
Acacia farinosa,0.17424242424242428,333,396
Acacia fecunda,1,0,2
Acacia filicifolia,0.6176935229067929,733,1266
Acacia filifolia,0,1,1
Acacia filipes,2.3333333333333335,1,12
Acacia fimbriata,0.3957858769931664,1221,1756
Acacia flavescens,0.9918256130790191,224,367
Acacia flexifolia,0.24096385542168672,280,332
Acacia floribunda,0.2810945273631843,2508,3216
Acacia frigescens,0.4198717948717947,389,624
Acacia froggattii,5.087719298245615,1,57
Acacia fulva,0.48529411764705876,41,68
Acacia galioides,3.0977443609022566,111,532
Acacia genistifolia,0.1577181208053693,3320,3874
Acacia georgensis,0.3658536585365854,26,41
Acacia georginae,0.3178294573643411,192,258
Acacia gladiiformis,0.4945799457994579,472,738
Acacia glandulicarpa,0.0740740740740741,125,135
Acacia glaucoptera,0.13636363636363633,176,198
Acacia gonocarpa,4.361774744027304,64,586
Acacia gonophylla,0.20720720720720714,90,111
Acacia gordonii,0.6078431372549019,28,51
Acacia gracilenta,4.676470588235294,1,34
Acacia granitica,1.0348258706467661,70,201
Acacia gunnii,0.31136665192392826,1697,2261
Acacia hakeoides,0.2074398249452947,1921,2285
Acacia halliana,0.14285714285714277,273,308
Acacia hammondii,3.6206896551724146,74,493
Acacia handonis,1.3846153846153846,3,13
Acacia harpophylla,0.06584992343032159,618,653
Acacia hastulata,0.6548672566371682,67,113
Acacia havilandiorum,0.11612903225806447,278,310
Acacia helicophylla,4.935483870967742,5,62
Acacia hemignosta,5.46345514950166,101,602
Acacia hemiteles,0.1306532663316582,352,398
Acacia hemsleyi,1.6560509554140126,63,157
Acacia hilliana,1.8046647230320698,78,343
Acacia hispidula,0.8248337028824835,191,451
Acacia holosericea,2.5949966193373872,522,1479
Acacia homalophylla,0.0982367758186398,368,397
Acacia howittii,0.0829383886255924,389,422
Acacia huegelii,0.21848739495798314,98,119
Acacia humifusa,3.51762114537445,110,454
Acacia hyaloneura,1.5106382978723405,35,94
Acacia implexa,0.21934369602763337,7613,9264
Acacia inaequilatera,1.10126582278481,58,158
Acacia incrassata,0.52,17,25
Acacia incurva,0.45,42,60
Acacia incurvaneura,0.08130081300813005,462,492
Acacia infecunda,1,0,4
Acacia ingramii,0.39669421487603307,78,121
Acacia irrorata,0.3645937813440325,1446,1994
Acacia irrorata subsp. irrorata,0.3886010362694302,1055,1544
Acacia irrorata subsp. velutinella,0.5474452554744526,86,137
Acacia iteaphylla,0.05032258064516122,736,775
Acacia ixiophylla,0.16716417910447745,293,335
Acacia jasperensis,3.75,4,56
Acacia jennerae,0.1920903954802261,154,177
Acacia jonesii,0.84375,17,64
Acacia juncifolia,0.8474576271186443,186,354
Acacia kelleri,5.338709677419354,3,62
Acacia kempeana,0.5806949806949806,821,1295
Acacia kettlewelliae,1.0042735042735043,51,234
Acacia kulnurensis,0.33333333333333337,41,57
Acacia kybeanensis,1.036144578313253,20,83
Acacia kydrensis,0.8,15,50
Acacia laccata,2.732283464566929,32,127
Acacia lacertensis,3.6428571428571432,9,42
Acacia lamprocarpa,5.56176853055917,248,1538
Acacia lanigera,0.2849162011173185,266,358
Acacia lanigera var. gracilipes,1.0833333333333333,2,24
Acacia lanigera var. lanigera,0.32142857142857145,98,140
Acacia lanigera var. whanii,0.14814814814814817,92,108
Acacia laricina var. crassifolia,0.08333333333333333,22,24
Acacia lasiocarpa,0.12345679012345673,72,81
Acacia lasiocarpa var. bracteolata,0.42857142857142844,93,119
Acacia lasiocarpa var. lasiocarpa,0,1,1
Acacia lasiocarpa var. sedifolia,0.2559523809523809,140,168
Acacia lateriticola,0.15999999999999992,130,150
Acacia latescens,4.890014471780029,118,691
Acacia latifolia,3.43421052631579,27,152
Acacia latipes,0.4731182795698925,67,93
Acacia latipes subsp. latipes,0.24358974358974358,63,78
Acacia latisepala,1.1354166666666667,26,96
Acacia latzii,0.03225806451612905,30,31
Acacia leiocalyx,0.27149321266968324,362,442
Acacia leiocalyx subsp. herveyensis,0.4000000000000001,31,40
Acacia leiocalyx subsp. leiocalyx,0.31480144404332144,1092,1385
Acacia leprosa,0.2586206896551724,181,232
Acacia leprosa var. graveolens,0.411764705882353,191,289
Acacia leprosa var. uninervia,0.5363128491620112,93,179
Acacia leptocarpa,3.154166666666665,311,960
Acacia leptoclada,0.1953125,107,128
Acacia leptophleba,3.9473684210526314,13,133
Acacia leptostachya,1.0865384615384615,260,520
Acacia leucoclada,0.261904761904762,68,84
Acacia ligulata,0.20167920237887044,4880,5717
Acacia ligustrina,0.4347826086956521,54,69
Acacia limbata,2.9770114942528734,11,87
Acacia linarioides,3.521276595744681,18,94
Acacia linearifolia,0.16533333333333372,652,750
Acacia lineata,0.1850393700787402,439,508
Acacia lineolata,0,10,10
Acacia linifolia,0.556728232189973,1492,2653
Acacia littorea,0.29834254143646416,137,181
Acacia loderi,0.004081632653061217,244,245
Acacia longifolia,0.3006463818382457,4834,6343
Acacia longifolia subsp. longifolia,0.34505314799672954,3517,4892
Acacia longifolia subsp. sophorae,0.07611111111111124,3364,3600
Acacia longissima,0.2559726962457339,688,879
Acacia lucasii,1.0961538461538463,11,52
Acacia lunata,0.7326732673267328,56,101
Acacia lycopodiifolia,4.395000000000001,35,600
Acacia lysiphloia,2.869505494505493,100,728
Acacia mabellae,0.7724550898203593,124,334
Acacia macdonnellensis,0.6666666666666667,8,15
Acacia macdonnellensis subsp. macdonnellensis,0.8701298701298702,35,77
Acacia macdonnellensis subsp. teretifolia,1.2380952380952381,4,21
Acacia macnuttiana,0.8904109589041096,29,73
Acacia maconochieana,1.46875,10,32
Acacia maidenii,0.2710180915218163,2221,2819
Acacia maitlandii,1.0279329608938548,134,358
Acacia mangium,0.6315789473684209,165,190
Acacia mariae,0.6466809421841541,268,467
Acacia marramamba,0.625,24,40
Acacia matthewii,1.0476190476190477,12,42
Acacia mearnsii,0.18247104247104273,10826,12950
Acacia megalantha,4.1525423728813555,13,118
Acacia meiantha,0.24742268041237114,82,97
Acacia melanoxylon,0.237234640494616,18519,23129
Acacia melleodora,1.2914572864321612,232,796
Acacia melvillei,0.04280155642023352,493,514
Acacia menzelii,0.04705882352941173,81,85
Acacia merrallii,0.11928104575163408,543,612
Acacia microbotrya,0.3830645161290324,198,248
Acacia microcarpa,0.14897959183673462,425,490
Acacia mimula,7.2599118942731264,33,454
Acacia minutifolia,2.15625,7,32
Acacia minutissima,1.3333333333333333,0,12
Acacia minyura,0.38827838827838823,200,273
Acacia mitchellii,0.6160714285714284,288,560
Acacia moirii subsp. recurvistipula,0.07936507936507939,58,63
Acacia montana,0.16531165311653123,983,1107
Acacia monticola,2.0411899313501136,108,437
Acacia mooreana,0.3666666666666667,43,60
Acacia mountfordiae,3.121212121212121,9,33
Acacia mucronata,0.21764705882352933,134,170
Acacia mucronata subsp. longifolia,0.4653083700440528,2196,3632
Acacia mulganeura,0.267605633802817,114,142
Acacia multisiliqua,3.2153024911032038,131,562
Acacia multispicata,0.2808219178082192,235,292
Acacia multistipulosa,2.388888888888889,15,36
Acacia murrayana,0.2905591200733278,863,1091
Acacia mutabilis subsp. mutabilis,0.171875,54,64
Acacia myrtifolia,0.3988614341085271,5584,8256
Acacia nanodealbata,0.02868852459016393,237,244
Acacia nanopravissima,1.1666666666666667,0,6
Acacia neriifolia,0.3842264914054601,725,989
Acacia nervosa,0.2696629213483147,138,178
Acacia neurocarpa,3.401234567901235,25,162
Acacia notabilis,0.22854387656702044,841,1037
Acacia nuperrima,5.647058823529411,17,289
Acacia nyssophylla,0.07356948228882829,1374,1468
Acacia obliquinervia,0.7957465662383693,885,2257
Acacia obovata,0.1688311688311688,65,77
Acacia obtusata,0.4646464646464647,192,297
Acacia obtusifolia,0.7389885807504075,1093,2452
Acacia olgana,0.4482758620689656,59,87
Acacia oligoneura,11.560975609756097,2,41
Acacia oncinocarpa,5.817603393425238,130,943
Acacia orthocarpa,2.0184331797235027,55,217
Acacia orthotricha,3.645161290322581,1,31
Acacia oswaldii,0.1010897287271044,3958,4313
Acacia oxycedrus,0.365865620402158,1363,2039
Acacia pachyacra,1.1398601398601398,64,143
Acacia paradoxa,0.1175433713702543,9755,10779
Acacia paraneura,0.4372093023255813,154,215
Acacia parramattensis,0.2902447431920027,2232,2901
Acacia parvipinnula,0.42596991290577974,882,1263
Acacia pataczekii,0.16666666666666669,15,18
Acacia pellita,5.852071005917159,8,169
Acacia pendula,0.09583333333333344,1111,1200
Acacia penninervis,0.5367965367965368,580,924
Acacia penninervis var. longiracemosa,0.46739130434782605,67,92
Acacia penninervis var. penninervis,0.44244105409153994,491,721
Acacia pentadenia,0.2363636363636364,45,55
Acacia perryi,2.6129032258064515,5,62
Acacia petraea,0.015625,63,64
Acacia peuce,0.013333333333333345,74,75
Acacia phasmoides,0.926829268292683,4,41
Acacia phlebophylla,1.2439024390243902,4,41
