taxon_name,mean_fri,mean_fires,upr_conf_int,lwr_conf_int,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial,mean_fires_100
Abutilon oxycarpum,215.4678801843319,0.10289236605026074,0.1165825523616909,0.08920217973883057,1.3954651579674542,9.995728154909472e-31,1939,2111,species,does not resprout,some post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.46410629702418016
Abutilon oxycarpum var. incanum,133.01999999999998,0.16666666666666669,0.29013506118301424,0.04319827215031911,1.4390243902439022,0.03395610452961249,37,42,variety,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA,0.7517666516313337
Abutilon oxycarpum var. oxycarpum,46.88409836065576,0.4728682170542634,0.5915355764711397,0.35420085763738707,2.084272540983607,8.44464469061414e-12,92,130,variety,does not resprout,no post-fire seeding,TRUE,neither,woody,woody,FALSE,FALSE,NA,NA,2.1329193371865736
Abutilon oxycarpum var. subsagittatum,146.87625000000006,0.15094339622641506,0.2555418332925006,0.04634495916032953,1.1201923076923077,0.2563300525780765,46,53,variety,does not resprout,no post-fire seeding,TRUE,neither,woody,woody,FALSE,FALSE,NA,NA,0.6808452694019623
Acacia abbreviata,8.118591549295772,2.7307692307692317,3.3659712905932957,2.095567170945168,0.9245070422535208,0.5709838132345408,4,26,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,12.317407445959546
Acacia abrupta,18.580571428571435,1.193181818181818,1.4214093579690998,0.964954278394536,0.6330596606458677,0.9970182466501571,21,88,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,5.381965801451591
Acacia acanthoclada,151.1590909090909,0.14666666666666664,0.23334112785462108,0.05999220547871219,1.049140049140049,0.3636342481556654,65,75,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.6615546534355734
Acacia acanthoclada subsp. acanthoclada,99.58904761904762,0.22261484098939932,0.27758663501434555,0.16764304696445306,0.9712934819317796,0.6240155486394418,225,283,subspecies,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.0041264816842548
Acacia acinacea,231.90523809523805,0.09559939301972688,0.1039457304378721,0.08725305560158168,1.5912103663953403,1.206884277626885e-147,4888,5289,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,0.4312106135305678
Acacia acradenia,11.86517595307918,1.8684931506849316,2.0087278198362366,1.7282584815336266,2.610800489832748,6.220522610531129e-54,129,365,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,8.428025036918951
Acacia aculeatissima,128.42476363636362,0.1726302573760201,0.19303384993438985,0.1522266648176504,1.0534856098675194,0.06749848320723291,1349,1593,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.7786660233469558
Acacia acuminata,140.41000000000005,0.15789473684210523,0.1861456898081612,0.12964378387604933,1.5274483970136146,2.930596667883373e-19,671,762,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,0.7121999857560001
Acacia adsurgens,15.528454157782514,1.427701674277017,1.5190692540303885,1.3363340945236457,0.9319257371678192,0.8931593185697947,155,657,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,6.439791043198091
Acacia adunca,36.25094594594595,0.6115702479338843,0.7509136985405251,0.4722267973272434,1.072972972972973,0.27597223227643614,68,121,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,2.758548705159604
Acacia aemula subsp. muricata,96.07000000000004,0.2307692307692307,0.4919091986796152,-0.03037073714115387,0.8333333333333336,0.6159606548330627,10,13,subspecies,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,1.0409076714895384
Acacia alata,93.34736842105266,0.23749999999999993,0.3442930241167464,0.13070697588325347,1.0919387075283151,0.26971156886648123,64,81,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,1.07126747857465
Acacia alaticaulis,20.784374999999994,1.066666666666667,1.5893333333333337,0.5440000000000005,0.46428571428571414,0.9522747412492748,2,15,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,4.811306570440537
Acacia alleniana,6.888828606658447,3.218253968253968,3.4397500039457167,2.996757932562219,2.105761909206577,6.62665747198909e-22,29,257,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,14.516256058881224
Acacia alpina,17.38985130111524,1.274881516587678,1.427234076564167,1.122528956611189,0.4185519560984245,0.999999999999996,29,211,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,5.750480453710771
Acacia amanda,2.309375,9.6,11.168,8.032,1.0089285714285714,0.44044056721899777,0,15,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,43.301759133964815
Acacia ammobia,25.865,0.8571428571428572,1.0996299702025,0.6146557440832143,0.8666666666666665,0.7481231008491451,22,56,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,3.8662284941040017
Acacia amoena,47.31123711340207,0.46859903381642504,0.561853919282707,0.375344148350143,0.6997297567811033,0.9996461845820608,118,209,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,2.1136627596591113
Acacia ampliceps,18.12916256157635,1.2228915662650603,1.391118683274693,1.0546644492554278,2.333034781310643,1.2661802340900831e-19,80,168,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,5.5159745884756886
Acacia anaticeps,10.161250000000004,2.181818181818181,2.7990581059699995,1.564578257666363,1.2500000000000004,0.1970765140891892,3,22,species,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA,9.841308894082909
Acacia ancistrocarpa,12.25184210526316,1.809523809523809,1.9182538523924768,1.700793766655142,1.7498430915448755,1.6930498291322995e-26,128,590,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder,8.162037931997334
Acacia ancistrophylla var. lissophylla,442.0958823529411,0.05014749262536874,0.0739860974224502,0.02630888782828728,1.0706578489383916,0.17793459873811782,323,340,variety,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.22619527571208267
Acacia aneura,189.76247950819675,0.11683026095283695,0.12719602949183004,0.10646449241384388,1.7401437174172485,1.7594021354187675e-171,3849,4177,species,does not resprout,some post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder,0.5269745645143751
Acacia aneura var. aneura,143.7882857142858,0.15418502202643164,0.1797258069931172,0.1286442370597461,1.6476295479603096,1.7825665593202518e-31,809,908,variety,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.6954669464430836
Acacia aneura var. major,172.92600000000002,0.1282051282051282,0.19308587485954304,0.06332438155071336,1.1482758620689657,0.13112843185997755,104,117,variety,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA,0.5782820397164103
