taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial
Lepyrodia valliculae,18.682584269662925,1.1866666666666663,1.4332080402510792,0.940125293082254,0.38020042514424546,0.9999997289735976,11,75,species,does not resprout,robust post-fire seeding,TRUE,seeder,herbaceous,herb,FALSE,TRUE,obligate seeder,seeder
Lepyrodia verruculosa,17.17394366197183,1.290909090909091,1.5911864282804666,0.9906317535377154,0.4783515910276474,0.999589759064083,11,55,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lespedeza juncea,97.9175,0.22641509433962265,0.3545214936918868,0.09830869498735852,1.2980769230769231,0.07288401182264924,44,53,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,seeder
Lespedeza juncea subsp. sericea,63.95192307692308,0.3466666666666667,0.38513389177333907,0.3081994415599943,1.57174638487208,1.489209625475946e-25,685,900,subspecies,mostly resprouts,NA,FALSE,NA,woody,woody,TRUE,NA,NA,NA
Leucochrysum albicans,48.021056603773594,0.46167247386759575,0.5172586905372045,0.406086257197987,1.2045770357930785,5.364307410274189e-4,377,574,species,does not resprout,NA,FALSE,NA,herbaceous woody_base,herb,FALSE,NA,NA,NA
Leucochrysum albicans subsp. albicans,57.28042918454935,0.38704318936877086,0.436741032465197,0.3373453462723447,1.138453078917112,0.01026567172751921,423,602,subspecies,does not resprout,robust post-fire seeding,TRUE,seeder,herbaceous woody_base,herb,FALSE,TRUE,obligate seeder,seeder
Leucochrysum albicans subsp. tricolor,122.674,0.18072289156626503,0.2112090255364118,0.15023675759611832,1.7994638069705091,1.1767896329255369e-36,658,747,subspecies,sometimes resprouts,robust post-fire seeding,TRUE,facultative,herbaceous woody_base,herb,TRUE,TRUE,NA,seeder
Leucochrysum alpinum,26.460967741935484,0.8378378378378379,0.9853083533938763,0.6903673222817995,0.6991441737985518,0.9978532762891354,57,148,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,herbaceous woody_base,herb,TRUE,TRUE,NA,seeder
Leucochrysum fitzgibbonii,72.1813953488372,0.3071428571428572,0.3989469964830853,0.2153387178026292,2.1032290446712394,5.858101363462144e-13,111,140,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Leucochrysum graminifolium,23.352399999999996,0.9493670886075952,1.164229087521203,0.7345050896939875,0.4023931623931623,0.9999994751535796,17,79,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Leucochrysum molle,707.223,0.03134796238244514,0.05077763076467093,0.01191829400021936,1.172327044025157,0.01851482377426001,310,319,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Leucochrysum stipitatum,38.52931451612903,0.5754060324825987,0.6470211389005252,0.5037909260646722,1.3794073518379597,2.786461670863035e-7,271,431,species,does not resprout,NA,FALSE,NA,herbaceous,herb,FALSE,NA,NA,NA
Leucopogon acuminatus,5.714627329192548,3.879518072289156,4.3032643680970555,3.455771776481257,2.9762157248901686,5.2672597686657175e-18,14,83,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA
Leucopogon affinis,30.69692307692308,0.7222222222222222,0.9998355068511626,0.44460893759328174,1.947252747252747,6.636962011727594e-4,20,36,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA
Leucopogon amplexicaulis,43.43510204081633,0.5104166666666666,0.5929296426383507,0.42790369069498263,0.6551233733911684,0.9999987264502866,153,288,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
Leucopogon appressus,30.231818181818188,0.7333333333333333,0.8535291849050192,0.6131374817616474,1.055295220243674,0.2848243929330647,99,195,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
Leucopogon attenuatus,40.48242,0.547645125958379,0.5956483377426023,0.4996419141741557,1.1175789473684212,0.00746445028079167,559,913,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA
Leucopogon australis,109.68315789473684,0.2021276595744681,0.23647997368625345,0.16777534546268277,1.265961707922775,3.962662314493679e-6,552,658,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA
Leucopogon biflorus,28.306339285714284,0.7832167832167833,0.8557436723033092,0.7106898941302575,1.2368026019514633,9.118630280591191e-5,295,572,species,sometimes resprouts,some post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA
Leucopogon canaliculatus,155.18999999999997,0.1428571428571429,0.30451521823023814,-0.01880093251595233,0.8999999999999998,0.5874082443319417,18,21,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA
Leucopogon capitellatus,66.00613636363637,0.33587786259541985,0.406055075490488,0.26570064970035173,1.008881922675026,0.44815336088410823,189,262,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,woody,woody,TRUE,TRUE,NA,NA
Leucopogon collinus,39.29265129682998,0.5642276422764226,0.6235947228942867,0.5048605616585585,0.742455106121338,0.9999996321064588,319,615,species,does not resprout,NA,FALSE,NA,woody,woody,FALSE,NA,NA,NA
Leucopogon confertus,12.835263157894738,1.7272727272727273,2.5039492663036107,0.9505961882418436,0.7052631578947368,0.7204670445793518,2,11,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
Leucopogon conostephioides,94.10457446808508,0.23558897243107776,0.2832153008548171,0.18796264400733836,1.0436223671549234,0.26428520986492526,317,399,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
Leucopogon cordifolius,87.17462962962965,0.25431711145996855,0.2934799485718389,0.21515427434809825,0.919966612314621,0.9262383804898686,488,637,species,does not resprout,robust post-fire seeding,TRUE,seeder,woody,woody,FALSE,TRUE,obligate seeder,seeder
