taxon_name,genus,num_unburnt_pixels,num_pixels,taxon_rank,mean_fires_per_century,resprouting,post_fire_seeding,data_on_both,woody_or_herb,resprouting_binomial,seeding_binomial
Spyridium scortechinii,Spyridium,90,207,species,3.7404974861656592,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Spyridium spathulatum,Spyridium,85,106,species,0.8674230595746155,does not resprout,NA,FALSE,woody,FALSE,NA
Spyridium subochreatum,Spyridium,476,714,species,1.619514133107613,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Spyridium thymifolium,Spyridium,311,376,species,1.031679766600447,does not resprout,NA,FALSE,woody,FALSE,NA
Spyridium tricolor,Spyridium,23,33,species,1.4095624718087503,does not resprout,NA,FALSE,woody,FALSE,NA
Spyridium vexilliferum,Spyridium,349,520,species,1.5035333032626674,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Spyridium vexilliferum var. latifolium,Spyridium,21,45,variety,3.07540902940091,does not resprout,NA,FALSE,woody,FALSE,NA
Spyridium vexilliferum var. vexilliferum,Spyridium,164,233,variety,1.1223558460974838,does not resprout,NA,FALSE,woody,FALSE,NA
Stenanthemum centrale,Stenanthemum,13,15,species,0.6014133213050669,mostly resprouts,NA,FALSE,woody,TRUE,NA
Stenanthemum leucophractum,Stenanthemum,653,958,species,1.5664426464954146,sometimes resprouts,robust post-fire seeding,TRUE,woody,TRUE,TRUE
Stenanthemum notiale subsp. notiale,Stenanthemum,100,136,subspecies,1.3030621961609785,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Stenanthemum petraeum,Stenanthemum,51,75,species,2.2252292888287473,mostly resprouts,NA,FALSE,woody,TRUE,NA
Stenanthemum tridentatum,Stenanthemum,44,53,species,1.2765848801286797,does not resprout,NA,FALSE,woody,FALSE,NA
Triodia basedowii,Triodia,684,1205,species,3.045778842738908,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia bitextura,Triodia,189,2787,species,26.07224098934654,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia brizoides,Triodia,111,214,species,3.41456628684886,does not resprout,NA,FALSE,herb,FALSE,NA
Triodia bynoei,Triodia,27,210,species,22.52998628409415,sometimes resprouts,NA,FALSE,herb,TRUE,NA
Triodia gracilis,Triodia,3,10,species,8.570139828597203,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia hubbardii,Triodia,16,33,species,3.1437514522764847,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia intermedia,Triodia,6,71,species,13.531799729364,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia irritans,Triodia,1456,1659,species,0.6514094529912283,sometimes resprouts,NA,FALSE,herb,TRUE,NA
Triodia longiceps,Triodia,108,206,species,3.7184945597764503,sometimes resprouts,NA,FALSE,herb,TRUE,NA
Triodia marginata,Triodia,28,40,species,1.8042399639152014,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia melvillei,Triodia,120,186,species,2.740310697881957,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia microstachya,Triodia,177,1003,species,17.970114384187454,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia mitchellii,Triodia,253,393,species,2.66953872211943,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia plectrachnoides,Triodia,12,105,species,17.7846510728784,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia pungens,Triodia,310,1340,species,9.520503324922764,mostly resprouts,NA,FALSE,herb,TRUE,NA
Triodia scariosa,Triodia,3562,4130,species,0.6628088131259767,mostly resprouts,robust post-fire seeding,TRUE,herb,TRUE,TRUE
Triodia schinzii,Triodia,125,881,species,8.20949733011529,does not resprout,NA,FALSE,herb,FALSE,NA
Triodia spicata,Triodia,32,93,species,7.12965792192297,does not resprout,NA,FALSE,herb,FALSE,NA
Triodia stenostachya,Triodia,27,63,species,8.321279143919243,mostly resprouts,NA,FALSE,herb,TRUE,NA
Trymalium elachophyllum,Trymalium,58,60,species,0.15035333032626672,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Trymalium ledifolium,Trymalium,62,90,species,1.7308115932907449,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Trymalium ledifolium var. ledifolium,Trymalium,19,31,variety,1.9331142470520015,mostly resprouts,NA,FALSE,woody,TRUE,NA
Trymalium odoratissimum subsp. odoratissimum,Trymalium,63,95,subspecies,1.967389322354341,does not resprout,NA,FALSE,woody,FALSE,NA
Trymalium wayi,Trymalium,74,85,species,0.5369761797366668,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra nutans,Cryptandra,122,159,species,1.44679619747917,NA,robust post-fire seeding,FALSE,woody,NA,TRUE
Cryptandra recurva,Cryptandra,39,58,species,1.5035333032626674,NA,robust post-fire seeding,FALSE,woody,NA,TRUE
Pomaderris halmaturina,Pomaderris,10,16,species,1.1276499774470008,NA,robust post-fire seeding,FALSE,woody,NA,TRUE
